Bed_ID,Department_ID,Bed_Type,Availability_Status,Admission_ID
1,1,General,Occupied,502.0
2,1,General,Available,
3,1,General,Available,
4,1,Private,Available,
5,1,General,Available,
6,1,General,Available,
7,1,General,Available,
8,1,Private,Available,
9,1,Private,Available,
10,1,General,Available,
11,1,General,Available,
12,1,Private,Available,
13,1,ICU,Available,
14,1,Private,Maintenance,
15,1,Private,Available,
16,1,Private,Available,
17,1,Private,Available,
18,1,General,Available,
19,1,ICU,Available,
20,1,General,Available,
21,1,Private,Available,
22,1,ICU,Available,
23,1,General,Available,
24,1,Private,Available,
25,1,Private,Maintenance,
26,1,General,Available,
27,1,General,Available,
28,1,ICU,Available,
29,1,Private,Available,
30,1,General,Available,
31,1,Private,Available,
32,1,General,Available,
33,1,ICU,Available,
34,1,ICU,Available,
35,1,Private,Available,
36,1,General,Available,
37,1,General,Available,
38,1,General,Maintenance,
39,1,General,Available,
40,1,General,Available,
41,2,General,Occupied,522.0
42,2,General,Occupied,1740.0
43,2,General,Available,
44,2,General,Available,
45,2,General,Available,
46,2,General,Available,
47,2,ICU,Available,
48,2,General,Available,
49,2,Private,Available,
50,2,ICU,Available,
51,2,ICU,Available,
52,2,Private,Available,
53,2,General,Available,
54,2,General,Available,
55,2,General,Available,
56,2,ICU,Available,
57,2,General,Available,
58,2,Private,Maintenance,
59,2,General,Available,
60,2,General,Available,
61,2,Private,Available,
62,2,General,Available,
63,2,ICU,Available,
64,2,General,Available,
65,2,General,Maintenance,
66,3,General,Available,
67,3,General,Available,
68,3,ICU,Available,
69,3,General,Available,
70,3,ICU,Maintenance,
71,3,Private,Available,
72,3,General,Maintenance,
73,3,ICU,Available,
74,3,General,Available,
75,3,General,Available,
76,3,General,Available,
77,3,Private,Available,
78,3,General,Available,
79,3,ICU,Available,
80,3,Private,Available,
81,3,General,Maintenance,
82,3,General,Available,
83,3,General,Available,
84,3,ICU,Available,
85,3,General,Available,
86,3,ICU,Available,
87,3,General,Available,
88,3,ICU,Available,
89,3,Private,Available,
90,3,General,Available,
91,3,General,Available,
92,3,General,Available,
93,3,ICU,Maintenance,
94,3,General,Available,
95,3,General,Available,
96,3,ICU,Available,
97,3,General,Available,
98,3,General,Available,
99,3,General,Available,
100,3,General,Available,
101,4,ICU,Occupied,1432.0
102,4,General,Occupied,1986.0
103,4,Private,Occupied,2339.0
104,4,General,Available,
105,4,General,Available,
106,4,Private,Available,
107,4,General,Available,
108,4,General,Available,
109,4,General,Available,
110,4,General,Available,
111,4,Private,Available,
112,4,ICU,Available,
113,4,General,Available,
114,4,General,Available,
115,4,General,Available,
116,4,General,Available,
117,4,Private,Maintenance,
118,4,General,Available,
119,4,General,Available,
120,4,Private,Available,
121,4,Private,Available,
122,4,General,Available,
123,4,General,Available,
124,4,Private,Available,
125,4,General,Available,
126,4,General,Available,
127,4,General,Available,
128,4,General,Maintenance,
129,4,General,Available,
130,4,General,Available,
131,4,Private,Available,
132,4,General,Available,
133,4,Private,Available,
134,4,General,Available,
135,4,General,Available,
136,4,ICU,Available,
137,4,Private,Available,
138,4,General,Maintenance,
139,4,General,Available,
140,4,General,Available,
141,4,ICU,Available,
142,4,General,Available,
143,4,ICU,Maintenance,
144,4,General,Available,
145,4,General,Available,
146,4,Private,Available,
147,4,General,Available,
148,4,General,Available,
149,4,ICU,Available,
150,4,ICU,Available,
151,5,Private,Occupied,1828.0
152,5,General,Occupied,2380.0
153,5,General,Occupied,3394.0
154,5,ICU,Available,
155,5,Private,Available,
156,5,General,Available,
157,5,General,Maintenance,
158,5,General,Available,
159,5,Private,Available,
160,5,General,Available,
161,5,General,Available,
162,5,General,Available,
163,5,ICU,Available,
164,5,Private,Available,
165,5,Private,Available,
166,5,Private,Maintenance,
167,5,General,Available,
168,5,General,Available,
169,5,General,Available,
170,5,ICU,Available,
171,5,Private,Available,
